sol,attitude,imageid,caption,sample_type,date_taken_mars,credit,date_taken_utc,json_link,link,drive,title,site,date_received,extended_mastAz,extended_mastEl,extended_sclk,extended_scaleFactor,extended_xyz,extended_subframeRect,extended_dimension,image_files_medium,image_files_small,image_files_full_res,image_files_large,camera_filter_name,camera_camera_vector,camera_camera_model_component_list,camera_camera_position,camera_instrument,camera_camera_model_type
240,"(0.796185,-0.0390848,-0.0565513,-0.601135)",PCO_0240_0688242489_000ECM_N00724400836244520225075J,"NASA's Mars Perseverance rover acquired this image using its PIXL Micro Context Camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Oct. 23, 2021 (Sol 240) at the local mean solar time of 11:28:17.",Full,Sol-00240M11:28:17.403,NASA/JPL-Caltech,2021-10-23T06:32:27.090,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=PCO_0240_0688242489_000ECM_N00724400836244520225075J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=PCO_0240_0688242489_000ECM_N00724400836244520225075J,2440,Mars Perseverance Sol 240: PIXL Camera ,7,2021-10-23T10:44:23Z,UNK,UNK,UNK,1,"(192.67,-79.0069,-5.73998)",UNK,"(752,580)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688242489_000ECM_N00724400836244520225075J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688242489_000ECM_N00724400836244520225075J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688242489_000ECM_N00724400836244520225075J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688242489_000ECM_N00724400836244520225075J01_1200.jpg,UNK,UNK,"(-0.0941975,0.0719312,0.0332876);(0.0083284,0.378655,0.9255);(-1102.97,129.23,341.936);(12.8746,-974.823,648.072);(0.00736379,0.317758,0.948143);(0.0041402,0.141836,0.694469)","(-0.0941975,0.0719312,0.0332876)",PIXL_MCC,CAHVOR
240,"(0.796185,-0.0390848,-0.0565513,-0.601135)",PCS_0240_0688241789_000ECM_N00724400836244520148075J,"NASA's Mars Perseverance rover acquired this image using its PIXL Micro Context Camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Oct. 23, 2021 (Sol 240) at the local mean solar time of 11:16:56.",Full,Sol-00240M11:16:56.127,NASA/JPL-Caltech,2021-10-23T06:20:47.084,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=PCS_0240_0688241789_000ECM_N00724400836244520148075J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=PCS_0240_0688241789_000ECM_N00724400836244520148075J,2440,Mars Perseverance Sol 240: PIXL Camera ,7,2021-10-23T10:39:25Z,UNK,UNK,UNK,1,"(192.67,-79.0069,-5.73998)",UNK,"(752,580)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688241789_000ECM_N00724400836244520148075J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688241789_000ECM_N00724400836244520148075J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688241789_000ECM_N00724400836244520148075J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688241789_000ECM_N00724400836244520148075J01_1200.jpg,UNK,UNK,"(-0.0941975,0.0719312,0.0332876);(0.0083284,0.378655,0.9255);(-1102.97,129.23,341.936);(12.8746,-974.823,648.072);(0.00736379,0.317758,0.948143);(0.0041402,0.141836,0.694469)","(-0.0941975,0.0719312,0.0332876)",PIXL_MCC,CAHVOR
240,"(0.796185,-0.0390848,-0.0565513,-0.601135)",PCD_0240_0688241765_000ECM_N00724400836244520148075J,"NASA's Mars Perseverance rover acquired this image using its PIXL Micro Context Camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Oct. 23, 2021 (Sol 240) at the local mean solar time of 11:16:32.",Full,Sol-00240M11:16:32.769,NASA/JPL-Caltech,2021-10-23T06:20:23.084,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=PCD_0240_0688241765_000ECM_N00724400836244520148075J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=PCD_0240_0688241765_000ECM_N00724400836244520148075J,2440,Mars Perseverance Sol 240: PIXL Camera ,7,2021-10-23T10:39:25Z,UNK,UNK,UNK,1,"(192.67,-79.0069,-5.73998)",UNK,"(752,580)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688241765_000ECM_N00724400836244520148075J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688241765_000ECM_N00724400836244520148075J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688241765_000ECM_N00724400836244520148075J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688241765_000ECM_N00724400836244520148075J01_1200.jpg,UNK,UNK,"(-0.0941975,0.0719312,0.0332876);(0.0083284,0.378655,0.9255);(-1102.97,129.23,341.936);(12.8746,-974.823,648.072);(0.00736379,0.317758,0.948143);(0.0041402,0.141836,0.694469)","(-0.0941975,0.0719312,0.0332876)",PIXL_MCC,CAHVOR
240,"(0.796185,-0.0390848,-0.0565513,-0.601135)",PCO_0240_0688241718_000ECM_N00724400836244520148075J,"NASA's Mars Perseverance rover acquired this image using its PIXL Micro Context Camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Oct. 23, 2021 (Sol 240) at the local mean solar time of 11:15:47.",Full,Sol-00240M11:15:47.026,NASA/JPL-Caltech,2021-10-23T06:19:36.084,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=PCO_0240_0688241718_000ECM_N00724400836244520148075J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=PCO_0240_0688241718_000ECM_N00724400836244520148075J,2440,Mars Perseverance Sol 240: PIXL Camera ,7,2021-10-23T10:44:23Z,UNK,UNK,UNK,1,"(192.67,-79.0069,-5.73998)",UNK,"(752,580)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241718_000ECM_N00724400836244520148075J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241718_000ECM_N00724400836244520148075J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241718_000ECM_N00724400836244520148075J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241718_000ECM_N00724400836244520148075J01_1200.jpg,UNK,UNK,"(-0.0941975,0.0719312,0.0332876);(0.0083284,0.378655,0.9255);(-1102.97,129.23,341.936);(12.8746,-974.823,648.072);(0.00736379,0.317758,0.948143);(0.0041402,0.141836,0.694469)","(-0.0941975,0.0719312,0.0332876)",PIXL_MCC,CAHVOR
240,"(0.796185,-0.0390848,-0.0565513,-0.601135)",PCO_0240_0688241078_000ECM_N00724400836244520071075J,"NASA's Mars Perseverance rover acquired this image using its PIXL Micro Context Camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Oct. 23, 2021 (Sol 240) at the local mean solar time of 11:05:24.",Full,Sol-00240M11:05:24.145,NASA/JPL-Caltech,2021-10-23T06:08:56.079,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=PCO_0240_0688241078_000ECM_N00724400836244520071075J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=PCO_0240_0688241078_000ECM_N00724400836244520071075J,2440,Mars Perseverance Sol 240: PIXL Camera ,7,2021-10-23T10:44:23Z,UNK,UNK,UNK,1,"(192.67,-79.0069,-5.73998)",UNK,"(752,580)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241078_000ECM_N00724400836244520071075J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241078_000ECM_N00724400836244520071075J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241078_000ECM_N00724400836244520071075J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCO_0240_0688241078_000ECM_N00724400836244520071075J01_1200.jpg,UNK,UNK,"(-0.0941975,0.0719312,0.0332876);(0.0083284,0.378655,0.9255);(-1102.97,129.23,341.936);(12.8746,-974.823,648.072);(0.00736379,0.317758,0.948143);(0.0041402,0.141836,0.694469)","(-0.0941975,0.0719312,0.0332876)",PIXL_MCC,CAHVOR
240,"(0.796185,-0.0390848,-0.0565513,-0.601135)",PCS_0240_0688240119_000ECM_N00724400836244520070075J,"NASA's Mars Perseverance rover acquired this image using its PIXL Micro Context Camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Oct. 23, 2021 (Sol 240) at the local mean solar time of 10:49:50.",Full,Sol-00240M10:49:50.796,NASA/JPL-Caltech,2021-10-23T05:52:57.071,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=PCS_0240_0688240119_000ECM_N00724400836244520070075J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=PCS_0240_0688240119_000ECM_N00724400836244520070075J,2440,Mars Perseverance Sol 240: PIXL Camera ,7,2021-10-23T10:44:23Z,UNK,UNK,UNK,1,"(192.67,-79.0069,-5.73998)",UNK,"(752,580)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688240119_000ECM_N00724400836244520070075J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688240119_000ECM_N00724400836244520070075J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688240119_000ECM_N00724400836244520070075J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCS_0240_0688240119_000ECM_N00724400836244520070075J01_1200.jpg,UNK,UNK,"(-0.0939681,0.0719019,0.0349593);(-0.000354517,0.37968,0.925118);(-1106.13,129.654,331.407);(6.73026,-974.105,649.243);(-0.00153513,0.318807,0.947819);(0.0041402,0.141836,0.694469)","(-0.0939681,0.0719019,0.0349593)",PIXL_MCC,CAHVOR
240,"(0.796185,-0.0390848,-0.0565513,-0.601135)",PCD_0240_0688240062_000ECM_N00724400836244520070075J,"NASA's Mars Perseverance rover acquired this image using its PIXL Micro Context Camera, located on the turret at the end of the rover's robotic arm. 

This image was acquired on Oct. 23, 2021 (Sol 240) at the local mean solar time of 10:48:55.",Full,Sol-00240M10:48:55.321,NASA/JPL-Caltech,2021-10-23T05:52:00.071,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=PCD_0240_0688240062_000ECM_N00724400836244520070075J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=PCD_0240_0688240062_000ECM_N00724400836244520070075J,2440,Mars Perseverance Sol 240: PIXL Camera ,7,2021-10-23T10:44:23Z,UNK,UNK,UNK,1,"(192.67,-79.0069,-5.73998)",UNK,"(752,580)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688240062_000ECM_N00724400836244520070075J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688240062_000ECM_N00724400836244520070075J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688240062_000ECM_N00724400836244520070075J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00240/ids/edr/browse/pixl/PCD_0240_0688240062_000ECM_N00724400836244520070075J01_1200.jpg,UNK,UNK,"(-0.0939681,0.0719019,0.0349593);(-0.000354517,0.37968,0.925118);(-1106.13,129.654,331.407);(6.73026,-974.105,649.243);(-0.00153513,0.318807,0.947819);(0.0041402,0.141836,0.694469)","(-0.0939681,0.0719019,0.0349593)",PIXL_MCC,CAHVOR
239,"(0.7962,-0.0382781,-0.0562994,-0.601192)",NRF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Oct. 22, 2021 (Sol 239) at the local mean solar time of 14:41:11.",Full,Sol-00239M14:41:11.764,NASA/JPL-Caltech,2021-10-22T09:11:05.557,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J,2440,Mars Perseverance Sol 239: Right Navigation Camera (Navcam),7,2021-10-22T15:16:01Z,322.748,-24.039,688165608.073,2,"(192.67,-79.0069,-5.73998)","(1,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01_1200.jpg,UNK,"(0.5047484589665474,-0.8573914173429978,0.1005432774354446)","(1.04311,0.643125,-1.91881);(0.727453,-0.545454,0.416303);(1823.24,477.615,535.325);(217.734,-161.848,1747.08);(0.727455,-0.545987,0.415599);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(1.04311,0.643125,-1.91881)",NAVCAM_RIGHT,CAHVORE
239,"(0.7962,-0.0382781,-0.0562994,-0.601192)",NRF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Oct. 22, 2021 (Sol 239) at the local mean solar time of 14:41:11.",Full,Sol-00239M14:41:11.764,NASA/JPL-Caltech,2021-10-22T09:11:05.557,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J,2440,Mars Perseverance Sol 239: Right Navigation Camera (Navcam),7,2021-10-22T15:16:01Z,322.748,-24.039,688165608.073,2,"(192.67,-79.0069,-5.73998)","(2545,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01_1200.jpg,UNK,"(0.9619776108913844,-0.25400205730442166,0.10040931744029223)","(1.04311,0.643125,-1.91881);(0.727453,-0.545454,0.416303);(897.916,1171.43,5.78743);(217.734,-161.848,1747.08);(0.727455,-0.545987,0.415599);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(1.04311,0.643125,-1.91881)",NAVCAM_RIGHT,CAHVORE
239,"(0.7962,-0.0382781,-0.0562994,-0.601192)",NRF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Oct. 22, 2021 (Sol 239) at the local mean solar time of 14:41:11.",Full,Sol-00239M14:41:11.764,NASA/JPL-Caltech,2021-10-22T09:11:05.557,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J,2440,Mars Perseverance Sol 239: Right Navigation Camera (Navcam),7,2021-10-22T15:16:01Z,322.748,-24.039,688165608.073,2,"(192.67,-79.0069,-5.73998)","(1,1905,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01_1200.jpg,UNK,"(0.31814461441273667,-0.7191433539880019,0.6177514392820614)","(1.04311,0.643125,-1.91881);(0.727453,-0.545454,0.416303);(1823.24,477.615,535.325);(-474.801,357.424,1350.76);(0.727455,-0.545987,0.415599);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(1.04311,0.643125,-1.91881)",NAVCAM_RIGHT,CAHVORE
239,"(0.7962,-0.0382781,-0.0562994,-0.601192)",NRF_0239_0688165606_917ECM_N0072440NCAM02329_10_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Right Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Oct. 22, 2021 (Sol 239) at the local mean solar time of 14:41:11.",Full,Sol-00239M14:41:11.764,NASA/JPL-Caltech,2021-10-22T09:11:05.557,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_10_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NRF_0239_0688165606_917ECM_N0072440NCAM02329_10_195J,2440,Mars Perseverance Sol 239: Right Navigation Camera (Navcam),7,2021-10-22T15:16:01Z,322.748,-24.039,688165608.073,2,"(192.67,-79.0069,-5.73998)","(2545,1905,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_10_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_10_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_10_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NRF_0239_0688165606_917ECM_N0072440NCAM02329_10_195J01_1200.jpg,UNK,"(0.7768041623779873,-0.11233213628659089,0.6196424650308628)","(1.04311,0.643125,-1.91881);(0.727453,-0.545454,0.416303);(897.916,1171.43,5.78743);(-474.801,357.424,1350.76);(0.727455,-0.545987,0.415599);(0.0,0.05117,-0.018889);(0.001504,0.020873,-0.009439);2.0;0.0","(1.04311,0.643125,-1.91881)",NAVCAM_RIGHT,CAHVORE
239,"(0.7962,-0.0382781,-0.0562994,-0.601192)",NLF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Oct. 22, 2021 (Sol 239) at the local mean solar time of 14:41:11.",Full,Sol-00239M14:41:11.764,NASA/JPL-Caltech,2021-10-22T09:11:04.927,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J,2440,Mars Perseverance Sol 239: Left Navigation Camera (Navcam),7,2021-10-22T15:16:01Z,322.382,-24.2412,688165607.443,2,"(192.67,-79.0069,-5.73998)","(1,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_01_195J01_1200.jpg,UNK,"(0.5004246405610996,-0.8594424075463334,0.1045654208151824)","(0.788999,0.303225,-1.91834);(0.72708,-0.544853,0.417738);(1831.79,475.885,538.78);(213.676,-155.948,1749.43);(0.727894,-0.543683,0.417844);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.788999,0.303225,-1.91834)",NAVCAM_LEFT,CAHVORE
239,"(0.7962,-0.0382781,-0.0562994,-0.601192)",NLF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Oct. 22, 2021 (Sol 239) at the local mean solar time of 14:41:11.",Full,Sol-00239M14:41:11.764,NASA/JPL-Caltech,2021-10-22T09:11:04.927,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J,2440,Mars Perseverance Sol 239: Left Navigation Camera (Navcam),7,2021-10-22T15:16:01Z,322.382,-24.2412,688165607.443,2,"(192.67,-79.0069,-5.73998)","(2545,1,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_04_195J01_1200.jpg,UNK,"(0.9602000328278343,-0.2592923191361078,0.10384310374042503)","(0.788999,0.303225,-1.91834);(0.72708,-0.544853,0.417738);(906.945,1168.94,7.41725);(213.676,-155.948,1749.43);(0.727894,-0.543683,0.417844);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.788999,0.303225,-1.91834)",NAVCAM_LEFT,CAHVORE
239,"(0.7962,-0.0382781,-0.0562994,-0.601192)",NLF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J,"NASA's Mars Perseverance rover acquired this image using its onboard Left Navigation Camera (Navcam). The camera is located high on the rover's mast and aids in driving. 

This image was acquired on Oct. 22, 2021 (Sol 239) at the local mean solar time of 14:41:11.",Full,Sol-00239M14:41:11.764,NASA/JPL-Caltech,2021-10-22T09:11:04.927,https://mars.nasa.gov/rss/api/?feed=raw_images&category=mars2020&feedtype=json&id=NLF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J,https://mars.nasa.gov/mars2020/multimedia/raw-images/?id=NLF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J,2440,Mars Perseverance Sol 239: Left Navigation Camera (Navcam),7,2021-10-22T15:16:01Z,322.382,-24.2412,688165607.443,2,"(192.67,-79.0069,-5.73998)","(1,1905,2576,1936)","(1288,968)",https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01_800.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01_320.jpg,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01.png,https://mars.nasa.gov/mars2020-raw-images/pub/ods/surface/sol/00239/ids/edr/browse/ncam/NLF_0239_0688165606_917ECM_N0072440NCAM02329_07_195J01_1200.jpg,UNK,"(0.3139798974087402,-0.7198253006573235,0.6190865533645442)","(0.788999,0.303225,-1.91834);(0.72708,-0.544853,0.417738);(1831.79,475.885,538.78);(-478.504,362.751,1351.74);(0.727894,-0.543683,0.417844);(2e-06,0.049535,-0.015973);(-0.003612,0.013016,-0.023961);2.0;0.0","(0.788999,0.303225,-1.91834)",NAVCAM_LEFT,CAHVORE
